Cycle 106: Router 0, Element Input Buffer, Flit Flit 1
Cycle 107: Router 0, Element Input Buffer, Flit Flit 1
Cycle 108: Router 0, Element Input Buffer, Flit Flit 1
Cycle 109: Router 0, Element Input Buffer, Flit Flit 1
Cycle 110: Router 0, Element Input Buffer, Flit Flit 1
Cycle 111: Router 0, Element Input Buffer, Flit Flit 1
Cycle 112: Router 0, Element Input Buffer, Flit Flit 1
Cycle 113: Router 0, Element Input Buffer, Flit Flit 1
Cycle 114: Router 0, Element Input Buffer, Flit Flit 1
Cycle 115: Router 0, Element Input Buffer, Flit Flit 1
Cycle 116: Router 0, Element Input Buffer, Flit Flit 1
Cycle 117: Router 0, Element Input Buffer, Flit Flit 1
Cycle 118: Router 0, Element Input Buffer, Flit Flit 1
Cycle 119: Router 0, Element Input Buffer, Flit Flit 1
Cycle 120: Router 0, Element Input Buffer, Flit Flit 1
Cycle 121: Router 0, Element Input Buffer, Flit Flit 1
Cycle 122: Router 0, Element Input Buffer, Flit Flit 1
Cycle 123: Router 0, Element Input Buffer, Flit Flit 1
Cycle 124: Router 0, Element Input Buffer, Flit Flit 1
Cycle 125: Router 0, Element Input Buffer, Flit Flit 1
Cycle 126: Router 0, Element Input Buffer, Flit Flit 1
Cycle 127: Router 0, Element Input Buffer, Flit Flit 1
Cycle 128: Router 0, Element Input Buffer, Flit Flit 1
Cycle 129: Router 0, Element Input Buffer, Flit Flit 1
Cycle 130: Router 0, Element Input Buffer, Flit Flit 1
Cycle 131: Router 0, Element Input Buffer, Flit Flit 1
Cycle 132: Router 0, Element Input Buffer, Flit Flit 1
Cycle 133: Router 0, Element Input Buffer, Flit Flit 1
Cycle 134: Router 0, Element Input Buffer, Flit Flit 1
Cycle 135: Router 0, Element Input Buffer, Flit Flit 1
Cycle 136: Router 0, Element Input Buffer, Flit Flit 1
Cycle 137: Router 0, Element Input Buffer, Flit Flit 1
Cycle 138: Router 0, Element Input Buffer, Flit Flit 1
Cycle 139: Router 0, Element Input Buffer, Flit Flit 1
Cycle 140: Router 0, Element Input Buffer, Flit Flit 1
Cycle 141: Router 0, Element Input Buffer, Flit Flit 1
Cycle 142: Router 0, Element Input Buffer, Flit Flit 1
Cycle 143: Router 0, Element Input Buffer, Flit Flit 1
Cycle 144: Router 0, Element Input Buffer, Flit Flit 1
Cycle 145: Router 0, Element Input Buffer, Flit Flit 1
Cycle 146: Router 0, Element Input Buffer, Flit Flit 1
Cycle 147: Router 0, Element Input Buffer, Flit Flit 1
Cycle 148: Router 0, Element Input Buffer, Flit Flit 1
Cycle 149: Router 0, Element Input Buffer, Flit Flit 1
Cycle 150: Router 0, Element Input Buffer, Flit Flit 1
Cycle 151: Router 0, Element Input Buffer, Flit Flit 1
Cycle 152: Router 0, Element Input Buffer, Flit Flit 1
Cycle 153: Router 0, Element Input Buffer, Flit Flit 1
Cycle 154: Router 0, Element Input Buffer, Flit Flit 1
Cycle 155: Router 0, Element Input Buffer, Flit Flit 1
Cycle 156: Router 0, Element Input Buffer, Flit Flit 1
Cycle 157: Router 0, Element Input Buffer, Flit Flit 1
Cycle 158: Router 0, Element Input Buffer, Flit Flit 1
Cycle 159: Router 0, Element Input Buffer, Flit Flit 1
Cycle 160: Router 0, Element Input Buffer, Flit Flit 1
Cycle 161: Router 0, Element Input Buffer, Flit Flit 1
Cycle 162: Router 0, Element Input Buffer, Flit Flit 1
Cycle 163: Router 0, Element Input Buffer, Flit Flit 1
Cycle 164: Router 0, Element Input Buffer, Flit Flit 1
Cycle 165: Router 0, Element Input Buffer, Flit Flit 1
Cycle 166: Router 0, Element Input Buffer, Flit Flit 1
Cycle 167: Router 0, Element Input Buffer, Flit Flit 1
Cycle 168: Router 0, Element Input Buffer, Flit Flit 1
Cycle 169: Router 0, Element Input Buffer, Flit Flit 1
Cycle 170: Router 0, Element Input Buffer, Flit Flit 1
Cycle 171: Router 0, Element Input Buffer, Flit Flit 1
Cycle 172: Router 0, Element Input Buffer, Flit Flit 1
Cycle 173: Router 0, Element Input Buffer, Flit Flit 1
Cycle 174: Router 0, Element Input Buffer, Flit Flit 1
Cycle 175: Router 0, Element Input Buffer, Flit Flit 1
Cycle 176: Router 0, Element Input Buffer, Flit Flit 1
Cycle 177: Router 0, Element Input Buffer, Flit Flit 1
Cycle 178: Router 0, Element Input Buffer, Flit Flit 1
Cycle 179: Router 0, Element Input Buffer, Flit Flit 1
Cycle 180: Router 0, Element Input Buffer, Flit Flit 1
Cycle 181: Router 0, Element Input Buffer, Flit Flit 1
Cycle 182: Router 0, Element Input Buffer, Flit Flit 1
Cycle 183: Router 0, Element Input Buffer, Flit Flit 1
Cycle 184: Router 0, Element Input Buffer, Flit Flit 1
Cycle 185: Router 0, Element Input Buffer, Flit Flit 1
Cycle 186: Router 0, Element Input Buffer, Flit Flit 1
Cycle 187: Router 0, Element Input Buffer, Flit Flit 1
Cycle 188: Router 0, Element Input Buffer, Flit Flit 1
Cycle 189: Router 0, Element Input Buffer, Flit Flit 1
Cycle 190: Router 0, Element Input Buffer, Flit Flit 1
Cycle 191: Router 0, Element Input Buffer, Flit Flit 1
Cycle 192: Router 0, Element Input Buffer, Flit Flit 1
Cycle 193: Router 0, Element Input Buffer, Flit Flit 1
Cycle 194: Router 0, Element Input Buffer, Flit Flit 1
Cycle 195: Router 0, Element Input Buffer, Flit Flit 1
Cycle 196: Router 0, Element Input Buffer, Flit Flit 1
Cycle 197: Router 0, Element Input Buffer, Flit Flit 1
Cycle 198: Router 0, Element Input Buffer, Flit Flit 1
Cycle 199: Router 0, Element Input Buffer, Flit Flit 1
Cycle 200: Router 0, Element Input Buffer, Flit Flit 1
Cycle 201: Router 0, Element Input Buffer, Flit Flit 1
Cycle 202: Router 0, Element Input Buffer, Flit Flit 1
Cycle 203: Router 0, Element Input Buffer, Flit Flit 1
Cycle 204: Router 0, Element Input Buffer, Flit Flit 1
Cycle 205: Router 0, Element Input Buffer, Flit Flit 1
Cycle 206: Router 0, Element Input Buffer, Flit Flit 1
Cycle 207: Router 0, Element Input Buffer, Flit Flit 1
Cycle 208: Router 0, Element Input Buffer, Flit Flit 1
Cycle 209: Router 0, Element Input Buffer, Flit Flit 1
